Application No,Token Fee 50k
HITSEEE/2020/BTECH/204911,50000
HITSEEE/2020/BTECH/204890,50000
HITSEEE/2020/BTECH/204847,50000
HITSEEE/2020/BTECH/204835,50000
HITSEEE/2020/BTECH/204796,50000
HITSEEE/2020/BTECH/204786,50000
HITSEEE/2020/BTECH/204769,50000
HITSEEE/2020/BTECH/204746,50000
HITSEEE/2020/BARCH/204705,50000
HITSEEE/2020/BTECH/204649,50000
HITSEEE/2020/BTECH/204634,50000
HITSEEE/2020/BARCH/204611,50000
HITSEEE/2020/BTECH/204591,50000
HITSEEE/2020/BTECH/204528,50000
HITSEEE/2020/BTECH/204512,50000
HITSEEE/2020/BARCH/204386,50000
HITSEEE/2020/BTECH/204314,50000
HITSEEE/2020/BTECH/204225,50000
HITSEEE/2020/BTECH/204157,50000
HITSEEE/2020/BTECH/204147,50000
HITSEEE/2020/BTECH/204128,50000
HITSEEE/2020/BTECH/204108,50000
HITSEEE/2020/BTECH/204056,50000
HITSEEE/2020/BTECH/204043,50000
HITSEEE/2020/BTECH/204032,50000
HITSEEE/2020/BTECH/204026,50000
HITSEEE/2020/BTECH/204019,50000
HITSEEE/2020/BTECH/204017,50000
HITSEEE/2020/BTECH/203935,50000
HITSEEE/2020/BTECH/203878,50000
HITSEEE/2020/BTECH/203852,50000
HITSEEE/2020/BTECH/203851,50000
HITSEEE/2020/BTECH/203844,50000
HITSEEE/2020/BARCH/203807,50000
HITSEEE/2020/BTECH/203791,50000
HITSEEE/2020/BTECH/203760,50000
HITSEEE/2020/BTECH/203728,50000
HITSEEE/2020/BTECH/203723,50000
HITSEEE/2020/BTECH/203716,50000
HITSEEE/2020/BTECH/203710,50000
HITSEEE/2020/BTECH/203705,50000
HITSEEE/2020/BTECH/203689,50000
HITSEEE/2020/BTECH/203672,50000
HITSEEE/2020/BTECH/203651,50000
HITSEEE/2020/BTECH/203639,50000
HITSEEE/2020/BARCH/203636,50000
HITSEEE/2020/BTECH/203631,50000
HITSEEE/2020/BTECH/203605,50000
HITSEEE/2020/BARCH/203594,50000
HITSEEE/2020/BTECH/203556,50000
HITSEEE/2020/BTECH/203555,50000
HITSEEE/2020/BTECH/203539,50000
HITSEEE/2020/BTECH/203458,50000
HITSEEE/2020/BTECH/203442,50000
HITSEEE/2020/BDES/203374,50000
HITSEEE/2020/BTECH/203367,50000
HITSEEE/2020/BTECH/203325,50000
HITSEEE/2020/BTECH/203292,50000
HITSEEE/2020/BTECH/203272,50000
HITSEEE/2020/BTECH/203270,50000
HITSEEE/2020/BTECH/203145,50000
HITSEEE/2020/BTECH/203125,50000
HITSEEE/2020/BTECH/203070,50000
HITSEEE/2020/BTECH/203049,50000
HITSEEE/2020/BTECH/203038,50000
HITSEEE/2020/BTECH/203034,50000
HITSEEE/2020/BTECH/203029,50000
HITSEEE/2020/BTECH/203018,50000
HITSEEE/2020/BTECH/203002,50000
HITSEEE/2020/BTECH/202915,50000
HITSEEE/2020/BTECH/202907,50000
HITSEEE/2020/BTECH/202905,50000
HITSEEE/2020/BTECH/202902,50000
HITSEEE/2020/BTECH/202901,50000
HITSEEE/2020/BTECH/202891,50000
HITSEEE/2020/BTECH/202858,50000
HITSEEE/2020/BTECH/202857,50000
HITSEEE/2020/BTECH/202818,50000
HITSEEE/2020/BTECH/202816,50000
HITSEEE/2020/BTECH/202784,50000
HITSEEE/2020/BTECH/202781,50000
HITSEEE/2020/BTECH/202757,50000
HITSEEE/2020/BTECH/202647,50000
HITSEEE/2020/BTECH/202622,50000
HITSEEE/2020/BTECH/202616,50000
HITSEEE/2020/BTECH/202536,50000
HITSEEE/2020/BARCH/202486,50000
HITSEEE/2020/BARCH/202482,50000
HITSEEE/2020/BDES/202437,50000
HITSEEE/2020/BTECH/202422,50000
HITSEEE/2020/BTECH/202404,50000
HITSEEE/2020/BTECH/202363,50000
HITSEEE/2020/BTECH/202351,50000
HITSEEE/2020/BTECH/202285,50000
HITSEEE/2020/BTECH/202283,50000
HITSEEE/2020/BTECH/202266,50000
HITSEEE/2020/BTECH/202111,50000
HITSEEE/2020/BTECH/202004,50000
HITSEEE/2020/BTECH/201950,50000
HITSEEE/2020/BTECH/201819,50000
HITSEEE/2020/BTECH/201759,50000
HITSEEE/2020/BTECH/201719,50000
HITSEEE/2020/BTECH/201671,50000
HITSEEE/2020/BTECH/201652,50000
HITSEEE/2020/BTECH/201602,50000
HITSEEE/2020/BTECH/201469,50000
HITSEEE/2020/BTECH/201308,50000
HITSEEE/2020/BTECH/201303,50000
HITSEEE/2020/BTECH/201226,50000
HITSEEE/2020/BTECH/201204,50000
HITSEEE/2020/BTECH/201170,50000
HITSEEE/2020/BTECH/201069,50000
HITSEEE/2020/BTECH/201065,50000
HITSEEE/2020/BTECH/201048,50000
HITSEEE/2020/BTECH/201023,50000
HITSEEE/2020/201018,50000
HITSEEE/2020/BTECH/200964,50000
HITSEEE/2020/BTECH/200909,50000
HITSEEE/2020/BTECH/200884,50000
HITSEEE/2020/BTECH/200872,50000
HITSEEE/2020/200862,50000
HITSEEE/2020/BTECH/200824,50000
HITSEEE/2020/BTECH/200746,50000
HITSEEE/2020/BDES/200729,50000
HITSEEE/2020/BARCH/200717,50000
HITSEEE/2020/BTECH/200586,50000
HITSEEE/2020/BTECH/200573,50000
HITSEEE/2020/BTECH/200536,50000
HITSEEE/2020/BTECH/200395,50000
HITSEEE/2020/BTECH/200296,50000
HITSEEE/2020/BTECH/200285,50000
HITSEEE/2020/BTECH/200274,50000
HITSEEE/2020/BTECH/200219,50000
HITSEEE/2020/BTECH/200213,50000
HITSEEE/2020/BTECH/200149,50000
HITSEEE/2020/BTECH/200145,50000
HITSEEE/2020/BTECH/200076,50000
HITSEEE/2020/BTECH/200051,50000
